file,error
0003cdaa-3bec-407d-9269-bc6a45a2e266.mp4,"{""message"":""request to https://storage.googleapis.com/upload/storage/v1/b/twitter-absurd-humor.appspot.com/o?uploadType=multipart&name=videos-v2%2F0003cdaa-3bec-407d-9269-bc6a45a2e266.mp4 failed, reason: connect ETIMEDOUT 34.101.5.112:443"",""type"":""system"",""errno"":""ETIMEDOUT"",""code"":""ETIMEDOUT""}"
0078d18b-0c3b-4ac0-aa47-9564f5c73d46.mp4,"{""message"":""request to https://storage.googleapis.com/upload/storage/v1/b/twitter-absurd-humor.appspot.com/o?uploadType=multipart&name=videos-v2%2F0078d18b-0c3b-4ac0-aa47-9564f5c73d46.mp4 failed, reason: write ECONNRESET"",""type"":""system"",""errno"":""ECONNRESET"",""code"":""ECONNRESET""}"
010217c6-6d50-438d-815b-e825ba02bf56.mp4,"{""message"":""request to https://storage.googleapis.com/upload/storage/v1/b/twitter-absurd-humor.appspot.com/o?uploadType=multipart&name=videos-v2%2F010217c6-6d50-438d-815b-e825ba02bf56.mp4 failed, reason: Client network socket disconnected before secure TLS connection was established"",""type"":""system"",""errno"":""ECONNRESET"",""code"":""ECONNRESET""}"
